"doy","year","stand","sensorLoc","sensorUID","ndvi"
241,2016,"hd","overstory",8,NA
242,2016,"hd","overstory",8,0.341
243,2016,"hd","overstory",8,0.284
244,2016,"hd","overstory",8,NA
245,2016,"hd","overstory",8,0.212
246,2016,"hd","overstory",8,NA
247,2016,"hd","overstory",8,0.143
248,2016,"hd","overstory",8,0.131
249,2016,"hd","overstory",8,0.119
250,2016,"hd","overstory",8,0.113
251,2016,"hd","overstory",8,0.113
252,2016,"hd","overstory",8,0.091
253,2016,"hd","overstory",8,0.064
254,2016,"hd","overstory",8,NA
255,2016,"hd","overstory",8,NA
256,2016,"hd","overstory",8,NA
257,2016,"hd","overstory",8,NA
258,2016,"hd","overstory",8,0.051
135,2017,"hd","overstory",8,NA
136,2017,"hd","overstory",8,NA
137,2017,"hd","overstory",8,-0.059
138,2017,"hd","overstory",8,-0.052
139,2017,"hd","overstory",8,-0.019
140,2017,"hd","overstory",8,0.027
141,2017,"hd","overstory",8,0.091
142,2017,"hd","overstory",8,0.148
143,2017,"hd","overstory",8,0.188
152,2017,"hd","overstory",8,0.279
153,2017,"hd","overstory",8,NA
154,2017,"hd","overstory",8,0.254
155,2017,"hd","overstory",8,NA
156,2017,"hd","overstory",8,NA
157,2017,"hd","overstory",8,0.363
158,2017,"hd","overstory",8,0.396
159,2017,"hd","overstory",8,0.574
160,2017,"hd","overstory",8,0.482
161,2017,"hd","overstory",8,0.425
162,2017,"hd","overstory",8,0.514
163,2017,"hd","overstory",8,0.524
164,2017,"hd","overstory",8,0.529
165,2017,"hd","overstory",8,0.507
166,2017,"hd","overstory",8,0.518
167,2017,"hd","overstory",8,0.534
168,2017,"hd","overstory",8,0.518
169,2017,"hd","overstory",8,0.517
170,2017,"hd","overstory",8,NA
171,2017,"hd","overstory",8,0.517
172,2017,"hd","overstory",8,0.469
173,2017,"hd","overstory",8,0.472
174,2017,"hd","overstory",8,0.523
175,2017,"hd","overstory",8,NA
176,2017,"hd","overstory",8,0.482
177,2017,"hd","overstory",8,0.493
178,2017,"hd","overstory",8,NA
179,2017,"hd","overstory",8,0.538
180,2017,"hd","overstory",8,NA
181,2017,"hd","overstory",8,NA
182,2017,"hd","overstory",8,0.513
183,2017,"hd","overstory",8,0.477
184,2017,"hd","overstory",8,0.461
185,2017,"hd","overstory",8,0.424
186,2017,"hd","overstory",8,0.548
187,2017,"hd","overstory",8,0.512
188,2017,"hd","overstory",8,NA
189,2017,"hd","overstory",8,0.482
190,2017,"hd","overstory",8,0.495
191,2017,"hd","overstory",8,0.495
192,2017,"hd","overstory",8,0.556
193,2017,"hd","overstory",8,0.505
194,2017,"hd","overstory",8,0.512
195,2017,"hd","overstory",8,0.504
196,2017,"hd","overstory",8,0.472
197,2017,"hd","overstory",8,0.483
198,2017,"hd","overstory",8,0.557
199,2017,"hd","overstory",8,0.546
200,2017,"hd","overstory",8,NA
201,2017,"hd","overstory",8,0.51
202,2017,"hd","overstory",8,NA
203,2017,"hd","overstory",8,0.486
204,2017,"hd","overstory",8,0.551
205,2017,"hd","overstory",8,NA
206,2017,"hd","overstory",8,0.532
207,2017,"hd","overstory",8,0.511
208,2017,"hd","overstory",8,NA
209,2017,"hd","overstory",8,0.512
210,2017,"hd","overstory",8,NA
211,2017,"hd","overstory",8,0.507
212,2017,"hd","overstory",8,0.527
213,2017,"hd","overstory",8,0.529
214,2017,"hd","overstory",8,NA
215,2017,"hd","overstory",8,NA
216,2017,"hd","overstory",8,0.48
217,2017,"hd","overstory",8,NA
218,2017,"hd","overstory",8,0.47
219,2017,"hd","overstory",8,0.509
220,2017,"hd","overstory",8,0.512
221,2017,"hd","overstory",8,0.502
222,2017,"hd","overstory",8,0.489
223,2017,"hd","overstory",8,0.509
224,2017,"hd","overstory",8,0.513
225,2017,"hd","overstory",8,0.512
226,2017,"hd","overstory",8,0.459
227,2017,"hd","overstory",8,0.446
228,2017,"hd","overstory",8,0.452
229,2017,"hd","overstory",8,NA
230,2017,"hd","overstory",8,0.477
231,2017,"hd","overstory",8,0.46
232,2017,"hd","overstory",8,NA
233,2017,"hd","overstory",8,NA
234,2017,"hd","overstory",8,0.377
235,2017,"hd","overstory",8,0.41
236,2017,"hd","overstory",8,0.4
237,2017,"hd","overstory",8,0.377
238,2017,"hd","overstory",8,0.345
239,2017,"hd","overstory",8,0.337
240,2017,"hd","overstory",8,0.251
241,2017,"hd","overstory",8,0.279
242,2017,"hd","overstory",8,0.284
243,2017,"hd","overstory",8,0.251
244,2017,"hd","overstory",8,0.216
245,2017,"hd","overstory",8,0.192
246,2017,"hd","overstory",8,NA
247,2017,"hd","overstory",8,0.14
248,2017,"hd","overstory",8,0.115
249,2017,"hd","overstory",8,0.117
250,2017,"hd","overstory",8,0.091
251,2017,"hd","overstory",8,NA
252,2017,"hd","overstory",8,NA
253,2017,"hd","overstory",8,NA
254,2017,"hd","overstory",8,NA
255,2017,"hd","overstory",8,NA
256,2017,"hd","overstory",8,NA
257,2017,"hd","overstory",8,NA
258,2017,"hd","overstory",8,NA
161,18,"hd","overstory",9,0.349
162,18,"hd","overstory",9,0.43
163,18,"hd","overstory",9,0.479
164,18,"hd","overstory",9,0.522
165,18,"hd","overstory",9,0.526
166,18,"hd","overstory",9,0.528
167,18,"hd","overstory",9,0.537
168,18,"hd","overstory",9,0.554
169,18,"hd","overstory",9,0.551
170,18,"hd","overstory",9,0.542
171,18,"hd","overstory",9,0.554
172,18,"hd","overstory",9,0.564
173,18,"hd","overstory",9,0.562
174,18,"hd","overstory",9,0.562
175,18,"hd","overstory",9,0.559
176,18,"hd","overstory",9,0.569
177,18,"hd","overstory",9,0.565
182,2016,"hd","overstory",9,0.554
183,2016,"hd","overstory",9,0.55
184,2016,"hd","overstory",9,0.552
185,2016,"hd","overstory",9,0.543
186,2016,"hd","overstory",9,0.544
187,2016,"hd","overstory",9,0.546
188,2016,"hd","overstory",9,NA
189,2016,"hd","overstory",9,NA
190,2016,"hd","overstory",9,0.515
191,2016,"hd","overstory",9,NA
192,2016,"hd","overstory",9,0.53
193,2016,"hd","overstory",9,NA
194,2016,"hd","overstory",9,0.54
195,2016,"hd","overstory",9,NA
196,2016,"hd","overstory",9,NA
197,2016,"hd","overstory",9,NA
198,2016,"hd","overstory",9,0.551
199,2016,"hd","overstory",9,NA
200,2016,"hd","overstory",9,0.543
201,2016,"hd","overstory",9,NA
202,2016,"hd","overstory",9,NA
203,2016,"hd","overstory",9,0.271
204,2016,"hd","overstory",9,NA
205,2016,"hd","overstory",9,0.566
206,2016,"hd","overstory",9,NA
207,2016,"hd","overstory",9,NA
208,2016,"hd","overstory",9,0.57
209,2016,"hd","overstory",9,0.549
210,2016,"hd","overstory",9,0.541
211,2016,"hd","overstory",9,0.564
212,2016,"hd","overstory",9,0.569
213,2016,"hd","overstory",9,0.576
214,2016,"hd","overstory",9,NA
215,2016,"hd","overstory",9,NA
216,2016,"hd","overstory",9,0.562
217,2016,"hd","overstory",9,0.558
218,2016,"hd","overstory",9,0.556
219,2016,"hd","overstory",9,0.533
220,2016,"hd","overstory",9,0.544
221,2016,"hd","overstory",9,0.567
222,2016,"hd","overstory",9,0.557
223,2016,"hd","overstory",9,0.553
224,2016,"hd","overstory",9,NA
225,2016,"hd","overstory",9,0.556
226,2016,"hd","overstory",9,0.523
227,2016,"hd","overstory",9,0.542
228,2016,"hd","overstory",9,0.535
229,2016,"hd","overstory",9,0.543
230,2016,"hd","overstory",9,0.535
231,2016,"hd","overstory",9,NA
232,2016,"hd","overstory",9,0.513
233,2016,"hd","overstory",9,0.532
234,2016,"hd","overstory",9,0.51
235,2016,"hd","overstory",9,0.532
236,2016,"hd","overstory",9,0.52
237,2016,"hd","overstory",9,0.495
238,2016,"hd","overstory",9,NA
239,2016,"hd","overstory",9,0.43
240,2016,"hd","overstory",9,NA
241,2016,"hd","overstory",9,NA
242,2016,"hd","overstory",9,0.397
243,2016,"hd","overstory",9,0.331
244,2016,"hd","overstory",9,NA
245,2016,"hd","overstory",9,0.26
246,2016,"hd","overstory",9,NA
247,2016,"hd","overstory",9,0.215
248,2016,"hd","overstory",9,0.201
249,2016,"hd","overstory",9,0.193
250,2016,"hd","overstory",9,0.233
251,2016,"hd","overstory",9,0.195
252,2016,"hd","overstory",9,0.195
253,2016,"hd","overstory",9,0.182
254,2016,"hd","overstory",9,NA
255,2016,"hd","overstory",9,NA
256,2016,"hd","overstory",9,0.181
257,2016,"hd","overstory",9,0.185
258,2016,"hd","overstory",9,0.17
135,2017,"hd","overstory",9,0.061
136,2017,"hd","overstory",9,0.045
137,2017,"hd","overstory",9,0.001
138,2017,"hd","overstory",9,0.061
139,2017,"hd","overstory",9,0.092
140,2017,"hd","overstory",9,0.147
141,2017,"hd","overstory",9,0.227
142,2017,"hd","overstory",9,0.252
143,2017,"hd","overstory",9,0.275
152,2017,"hd","overstory",9,0.359
153,2017,"hd","overstory",9,NA
154,2017,"hd","overstory",9,0.348
155,2017,"hd","overstory",9,NA
156,2017,"hd","overstory",9,NA
157,2017,"hd","overstory",9,0.42
158,2017,"hd","overstory",9,0.439
159,2017,"hd","overstory",9,0.616
160,2017,"hd","overstory",9,0.528
161,2017,"hd","overstory",9,0.498
162,2017,"hd","overstory",9,0.526
163,2017,"hd","overstory",9,0.542
164,2017,"hd","overstory",9,0.531
165,2017,"hd","overstory",9,0.531
166,2017,"hd","overstory",9,0.542
167,2017,"hd","overstory",9,0.546
168,2017,"hd","overstory",9,0.548
169,2017,"hd","overstory",9,0.559
170,2017,"hd","overstory",9,NA
171,2017,"hd","overstory",9,0.556
172,2017,"hd","overstory",9,0.536
173,2017,"hd","overstory",9,0.538
174,2017,"hd","overstory",9,0.566
175,2017,"hd","overstory",9,NA
176,2017,"hd","overstory",9,0.541
177,2017,"hd","overstory",9,0.553
178,2017,"hd","overstory",9,NA
179,2017,"hd","overstory",9,0.585
180,2017,"hd","overstory",9,NA
181,2017,"hd","overstory",9,NA
182,2017,"hd","overstory",9,0.577
183,2017,"hd","overstory",9,NA
184,2017,"hd","overstory",9,0.552
185,2017,"hd","overstory",9,0.542
186,2017,"hd","overstory",9,0.576
187,2017,"hd","overstory",9,0.578
188,2017,"hd","overstory",9,NA
189,2017,"hd","overstory",9,0.551
190,2017,"hd","overstory",9,0.554
191,2017,"hd","overstory",9,0.549
192,2017,"hd","overstory",9,0.565
193,2017,"hd","overstory",9,0.552
194,2017,"hd","overstory",9,0.551
195,2017,"hd","overstory",9,0.554
196,2017,"hd","overstory",9,0.545
197,2017,"hd","overstory",9,0.56
198,2017,"hd","overstory",9,0.56
199,2017,"hd","overstory",9,0.564
200,2017,"hd","overstory",9,NA
201,2017,"hd","overstory",9,0.555
202,2017,"hd","overstory",9,NA
203,2017,"hd","overstory",9,0.544
204,2017,"hd","overstory",9,0.555
205,2017,"hd","overstory",9,NA
206,2017,"hd","overstory",9,0.548
207,2017,"hd","overstory",9,0.552
208,2017,"hd","overstory",9,NA
209,2017,"hd","overstory",9,0.564
210,2017,"hd","overstory",9,NA
211,2017,"hd","overstory",9,0.555
212,2017,"hd","overstory",9,0.553
213,2017,"hd","overstory",9,0.558
214,2017,"hd","overstory",9,NA
215,2017,"hd","overstory",9,NA
216,2017,"hd","overstory",9,0.547
217,2017,"hd","overstory",9,NA
218,2017,"hd","overstory",9,0.537
219,2017,"hd","overstory",9,0.554
220,2017,"hd","overstory",9,0.559
221,2017,"hd","overstory",9,0.549
222,2017,"hd","overstory",9,0.542
223,2017,"hd","overstory",9,0.547
224,2017,"hd","overstory",9,0.544
225,2017,"hd","overstory",9,0.534
226,2017,"hd","overstory",9,0.523
227,2017,"hd","overstory",9,0.523
228,2017,"hd","overstory",9,0.527
229,2017,"hd","overstory",9,NA
230,2017,"hd","overstory",9,0.522
231,2017,"hd","overstory",9,0.524
232,2017,"hd","overstory",9,NA
233,2017,"hd","overstory",9,NA
234,2017,"hd","overstory",9,0.477
235,2017,"hd","overstory",9,0.488
236,2017,"hd","overstory",9,0.473
237,2017,"hd","overstory",9,0.454
238,2017,"hd","overstory",9,0.429
239,2017,"hd","overstory",9,0.41
240,2017,"hd","overstory",9,0.359
241,2017,"hd","overstory",9,0.354
242,2017,"hd","overstory",9,0.351
243,2017,"hd","overstory",9,0.334
244,2017,"hd","overstory",9,0.297
245,2017,"hd","overstory",9,0.269
246,2017,"hd","overstory",9,NA
247,2017,"hd","overstory",9,0.216
248,2017,"hd","overstory",9,0.202
249,2017,"hd","overstory",9,0.198
250,2017,"hd","overstory",9,0.185
251,2017,"hd","overstory",9,NA
252,2017,"hd","overstory",9,0.165
253,2017,"hd","overstory",9,NA
254,2017,"hd","overstory",9,NA
255,2017,"hd","overstory",9,NA
256,2017,"hd","overstory",9,NA
257,2017,"hd","overstory",9,NA
258,2017,"hd","overstory",9,NA
183,2016,"ld","overstory",12,0.607155808050284
184,2016,"ld","overstory",12,0.609018981071764
185,2016,"ld","overstory",12,0.604219835410042
186,2016,"ld","overstory",12,0.605862080567559
187,2016,"ld","overstory",12,0.58749111648668
188,2016,"ld","overstory",12,NA
189,2016,"ld","overstory",12,NA
190,2016,"ld","overstory",12,0.511012009545046
191,2016,"ld","overstory",12,NA
192,2016,"ld","overstory",12,0.551156634825642
193,2016,"ld","overstory",12,NA
194,2016,"ld","overstory",12,0.573858031592377
195,2016,"ld","overstory",12,NA
196,2016,"ld","overstory",12,NA
197,2016,"ld","overstory",12,NA
198,2016,"ld","overstory",12,0.57775313486309
199,2016,"ld","overstory",12,NA
200,2016,"ld","overstory",12,0.586772590625936
201,2016,"ld","overstory",12,NA
202,2016,"ld","overstory",12,NA
203,2016,"ld","overstory",12,0.575038844105656
204,2016,"ld","overstory",12,NA
205,2016,"ld","overstory",12,0.577500806083988
206,2016,"ld","overstory",12,NA
207,2016,"ld","overstory",12,NA
208,2016,"ld","overstory",12,0.561493598960509
209,2016,"ld","overstory",12,0.55782957488472
210,2016,"ld","overstory",12,0.552235592964932
211,2016,"ld","overstory",12,0.578230188985319
212,2016,"ld","overstory",12,0.569578459308819
213,2016,"ld","overstory",12,0.562032995487164
214,2016,"ld","overstory",12,NA
215,2016,"ld","overstory",12,0.562875100420585
216,2016,"ld","overstory",12,0.561609699962218
217,2016,"ld","overstory",12,0.548914944317145
218,2016,"ld","overstory",12,0.550338429497799
219,2016,"ld","overstory",12,0.542803090020495
220,2016,"ld","overstory",12,0.566268046347357
221,2016,"ld","overstory",12,0.557115220781138
222,2016,"ld","overstory",12,0.551242497335502
223,2016,"ld","overstory",12,0.54187373641805
224,2016,"ld","overstory",12,NA
225,2016,"ld","overstory",12,0.539313144691664
226,2016,"ld","overstory",12,0.550327100770246
227,2016,"ld","overstory",12,0.571700686406005
228,2016,"ld","overstory",12,0.521313146130743
229,2016,"ld","overstory",12,0.513123286138004
230,2016,"ld","overstory",12,0.500535657410893
231,2016,"ld","overstory",12,NA
232,2016,"ld","overstory",12,0.501113256529411
233,2016,"ld","overstory",12,0.505335610762544
234,2016,"ld","overstory",12,0.498420023072679
235,2016,"ld","overstory",12,0.506781750924784
236,2016,"ld","overstory",12,0.478586069258154
237,2016,"ld","overstory",12,0.44836146115258
238,2016,"ld","overstory",12,NA
239,2016,"ld","overstory",12,0.39540507859734
240,2016,"ld","overstory",12,NA
241,2016,"ld","overstory",12,NA
242,2016,"ld","overstory",12,0.333490621682199
243,2016,"ld","overstory",12,0.331887201735358
244,2016,"ld","overstory",12,NA
245,2016,"ld","overstory",12,0.295021537689463
246,2016,"ld","overstory",12,NA
247,2016,"ld","overstory",12,0.286683193788297
248,2016,"ld","overstory",12,0.288028514908593
249,2016,"ld","overstory",12,0.304093668992154
250,2016,"ld","overstory",12,0.279144916728809
251,2016,"ld","overstory",12,0.275686673448627
252,2016,"ld","overstory",12,0.265267860536017
253,2016,"ld","overstory",12,0.28225372330881
254,2016,"ld","overstory",12,NA
255,2016,"ld","overstory",12,NA
256,2016,"ld","overstory",12,0.421847367705074
257,2016,"ld","overstory",12,0.262845598005133
258,2016,"ld","overstory",12,0.26235554462749
139,2017,"ld","overstory",12,-0.0318015212186699
140,2017,"ld","overstory",12,0.0106502036248406
141,2017,"ld","overstory",12,0.228309998897586
142,2017,"ld","overstory",12,0.268268886793066
143,2017,"ld","overstory",12,0.274616248596032
144,2017,"ld","overstory",12,NA
145,2017,"ld","overstory",12,NA
146,2017,"ld","overstory",12,NA
147,2017,"ld","overstory",12,NA
148,2017,"ld","overstory",12,NA
149,2017,"ld","overstory",12,NA
150,2017,"ld","overstory",12,NA
151,2017,"ld","overstory",12,NA
152,2017,"ld","overstory",12,NA
153,2017,"ld","overstory",12,NA
154,2017,"ld","overstory",12,0.304347826086956
155,2017,"ld","overstory",12,NA
156,2017,"ld","overstory",12,NA
157,2017,"ld","overstory",12,0.306886889839257
158,2017,"ld","overstory",12,0.311517181904968
159,2017,"ld","overstory",12,NA
160,2017,"ld","overstory",12,0.35085284505529
161,2017,"ld","overstory",12,0.359123747378233
162,2017,"ld","overstory",12,0.392284657389466
163,2017,"ld","overstory",12,0.394187766156478
164,2017,"ld","overstory",12,0.406295018989828
165,2017,"ld","overstory",12,0.40629329111419
166,2017,"ld","overstory",12,0.417866071112828
167,2017,"ld","overstory",12,0.44545163698411
168,2017,"ld","overstory",12,0.442190669371197
169,2017,"ld","overstory",12,0.461681511206812
170,2017,"ld","overstory",12,NA
171,2017,"ld","overstory",12,0.447818884594147
172,2017,"ld","overstory",12,0.449498754128759
173,2017,"ld","overstory",12,0.44253859348199
174,2017,"ld","overstory",12,0.45688758337923
175,2017,"ld","overstory",12,NA
176,2017,"ld","overstory",12,0.502274489831352
177,2017,"ld","overstory",12,0.467376830892144
178,2017,"ld","overstory",12,NA
179,2017,"ld","overstory",12,0.467217391781966
180,2017,"ld","overstory",12,NA
181,2017,"ld","overstory",12,NA
182,2017,"ld","overstory",12,0.463655610444601
183,2017,"ld","overstory",12,0.466890065115571
184,2017,"ld","overstory",12,0.481542928245541
185,2017,"ld","overstory",12,0.480900726738983
186,2017,"ld","overstory",12,0.483610790075491
187,2017,"ld","overstory",12,0.490312292939369
188,2017,"ld","overstory",12,NA
189,2017,"ld","overstory",12,0.503239740820734
190,2017,"ld","overstory",12,0.479138110642031
191,2017,"ld","overstory",12,0.481222092527745
192,2017,"ld","overstory",12,0.490878235044548
193,2017,"ld","overstory",12,0.472633979475485
194,2017,"ld","overstory",12,0.477677230644677
195,2017,"ld","overstory",12,0.480180557692002
196,2017,"ld","overstory",12,0.487653284058458
197,2017,"ld","overstory",12,0.479954614220877
198,2017,"ld","overstory",12,0.505399926460779
199,2017,"ld","overstory",12,0.486803519061584
200,2017,"ld","overstory",12,NA
201,2017,"ld","overstory",12,0.470297925118214
202,2017,"ld","overstory",12,NA
203,2017,"ld","overstory",12,0.468599033816425
204,2017,"ld","overstory",12,0.496100779844031
205,2017,"ld","overstory",12,NA
206,2017,"ld","overstory",12,0.647088479959667
207,2017,"ld","overstory",12,0.455085789644798
208,2017,"ld","overstory",12,NA
209,2017,"ld","overstory",12,0.5240787861653
210,2017,"ld","overstory",12,NA
211,2017,"ld","overstory",12,0.444947715122033
212,2017,"ld","overstory",12,0.464954521134296
213,2017,"ld","overstory",12,0.460989085028972
214,2017,"ld","overstory",12,NA
215,2017,"ld","overstory",12,NA
216,2017,"ld","overstory",12,0.427507434066087
217,2017,"ld","overstory",12,NA
218,2017,"ld","overstory",12,0.429996437477734
219,2017,"ld","overstory",12,0.437684158438111
220,2017,"ld","overstory",12,0.45
221,2017,"ld","overstory",12,0.451065366558324
222,2017,"ld","overstory",12,0.424626006904488
223,2017,"ld","overstory",12,0.455409098702058
224,2017,"ld","overstory",12,0.439089247133123
225,2017,"ld","overstory",12,0.433946729241283
226,2017,"ld","overstory",12,0.42058053373447
227,2017,"ld","overstory",12,0.407699901283317
228,2017,"ld","overstory",12,0.401805869074492
229,2017,"ld","overstory",12,NA
230,2017,"ld","overstory",12,0.420289855072464
231,2017,"ld","overstory",12,0.397879310520783
232,2017,"ld","overstory",12,NA
233,2017,"ld","overstory",12,NA
234,2017,"ld","overstory",12,0.409681227863046
235,2017,"ld","overstory",12,0.371168055337211
236,2017,"ld","overstory",12,0.347582316762377
237,2017,"ld","overstory",12,0.335504885993485
238,2017,"ld","overstory",12,0.319680826530142
239,2017,"ld","overstory",12,0.316894368543819
240,2017,"ld","overstory",12,0.354603653776089
241,2017,"ld","overstory",12,0.571550985432733
242,2017,"ld","overstory",12,0.317828673934739
243,2017,"ld","overstory",12,0.306039789276313
244,2017,"ld","overstory",12,0.298127832283068
245,2017,"ld","overstory",12,0.29185240787885
246,2017,"ld","overstory",12,NA
247,2017,"ld","overstory",12,0.310500098499986
248,2017,"ld","overstory",12,0.297079685602914
249,2017,"ld","overstory",12,0.299299299299299
250,2017,"ld","overstory",12,0.279118464865607
251,2017,"ld","overstory",12,NA
252,2017,"ld","overstory",12,0.384615384615385
253,2017,"ld","overstory",12,NA
254,2017,"ld","overstory",12,NA
255,2017,"ld","overstory",12,NA
256,2017,"ld","overstory",12,NA
257,2017,"ld","overstory",12,NA
258,2017,"ld","overstory",12,NA
135,2018,"ld","overstory",12,NA
136,2018,"ld","overstory",12,NA
137,2018,"ld","overstory",12,NA
138,2018,"ld","overstory",12,NA
139,2018,"ld","overstory",12,NA
140,2018,"ld","overstory",12,NA
141,2018,"ld","overstory",12,NA
142,2018,"ld","overstory",12,NA
143,2018,"ld","overstory",12,NA
144,2018,"ld","overstory",12,NA
145,2018,"ld","overstory",12,NA
146,2018,"ld","overstory",12,NA
147,2018,"ld","overstory",12,NA
148,2018,"ld","overstory",12,NA
149,2018,"ld","overstory",12,NA
150,2018,"ld","overstory",12,NA
151,2018,"ld","overstory",12,NA
152,2018,"ld","overstory",12,NA
153,2018,"ld","overstory",12,NA
154,2018,"ld","overstory",12,NA
155,2018,"ld","overstory",12,NA
156,2018,"ld","overstory",12,NA
157,2018,"ld","overstory",12,NA
158,2018,"ld","overstory",12,NA
159,2018,"ld","overstory",12,NA
160,2018,"ld","overstory",12,NA
161,2018,"ld","overstory",12,NA
183,2016,"ld","overstory",13,NA
184,2016,"ld","overstory",13,0.70399838975124
185,2016,"ld","overstory",13,0.708278635577504
186,2016,"ld","overstory",13,0.707086980016262
187,2016,"ld","overstory",13,0.709144885964736
188,2016,"ld","overstory",13,NA
189,2016,"ld","overstory",13,NA
190,2016,"ld","overstory",13,0.691122802187656
191,2016,"ld","overstory",13,NA
192,2016,"ld","overstory",13,0.691745633063135
193,2016,"ld","overstory",13,NA
194,2016,"ld","overstory",13,0.694862447203173
195,2016,"ld","overstory",13,NA
196,2016,"ld","overstory",13,NA
197,2016,"ld","overstory",13,NA
198,2016,"ld","overstory",13,0.69690846635684
199,2016,"ld","overstory",13,NA
200,2016,"ld","overstory",13,0.697428139183056
201,2016,"ld","overstory",13,NA
202,2016,"ld","overstory",13,NA
203,2016,"ld","overstory",13,0.693451354561827
204,2016,"ld","overstory",13,NA
205,2016,"ld","overstory",13,0.689881031947601
206,2016,"ld","overstory",13,NA
207,2016,"ld","overstory",13,NA
208,2016,"ld","overstory",13,0.680536698346777
209,2016,"ld","overstory",13,NA
210,2016,"ld","overstory",13,0.691746978667078
211,2016,"ld","overstory",13,0.689080755294596
212,2016,"ld","overstory",13,0.691503309690785
213,2016,"ld","overstory",13,0.679411000624596
214,2016,"ld","overstory",13,NA
215,2016,"ld","overstory",13,NA
216,2016,"ld","overstory",13,NA
217,2016,"ld","overstory",13,NA
218,2016,"ld","overstory",13,0.662823061630219
219,2016,"ld","overstory",13,0.687514647750887
220,2016,"ld","overstory",13,NA
221,2016,"ld","overstory",13,0.663152221511099
222,2016,"ld","overstory",13,0.664447002875342
223,2016,"ld","overstory",13,0.64908698814552
224,2016,"ld","overstory",13,NA
225,2016,"ld","overstory",13,0.644823299591547
226,2016,"ld","overstory",13,0.67373572593801
227,2016,"ld","overstory",13,0.71815107102593
228,2016,"ld","overstory",13,0.647141848976711
229,2016,"ld","overstory",13,0.661275298501143
230,2016,"ld","overstory",13,0.645390070921986
231,2016,"ld","overstory",13,NA
232,2016,"ld","overstory",13,0.635169646114557
233,2016,"ld","overstory",13,0.606281327134788
234,2016,"ld","overstory",13,0.612787686648435
235,2016,"ld","overstory",13,0.594554555803328
236,2016,"ld","overstory",13,0.573194037457001
237,2016,"ld","overstory",13,0.531015278642876
238,2016,"ld","overstory",13,NA
239,2016,"ld","overstory",13,0.576354374399405
240,2016,"ld","overstory",13,NA
241,2016,"ld","overstory",13,NA
242,2016,"ld","overstory",13,0.525555315937028
243,2016,"ld","overstory",13,0.460532004123605
244,2016,"ld","overstory",13,NA
245,2016,"ld","overstory",13,0.474500118237473
246,2016,"ld","overstory",13,NA
247,2016,"ld","overstory",13,0.466965913872914
248,2016,"ld","overstory",13,0.452275473217882
249,2016,"ld","overstory",13,0.480519480519481
